Key,Strings
F238,，{0} 是主要拖累项（{1:P0} vs {2:P0}）
F239,📈 峰值出现在 {0:HH:mm}（OK={1} 件，高于均值 {2:P0}）
F240,📉 谷值出现在 {0:HH:mm}（OK={1} 件，低于均值 {2:P0}）
F241,📊 {0} 表现最佳 ({1:P1})，{2} 偏低 ({3:P1})
F242,🔥 Top 报警：{0}
F243,🔻 差班次：{0} @ {1}（OEE {2:P0}），
F244,{0:N0} 件
F245,{0} 件
F246,{0} 件/h
F247,{0:N0} 次
F248,共 {0} 台设备
F249,最后刷新 {0:HH:mm:ss}
F250,更新于 {0:HH:mm:ss}
F251,达成率 {0:P0}
F252,目标达成 {0:P1}
F253,状态: {0}
F254,运行 {0:F1}h
F255,待机 {0:F1}h
F256,报警 {0:F1}h
F257,合格 {0:N0}
F258,不合格 {0:N0}
F259,显示 {0} 条
F260,超期 {0}
F261,达标 {0}
F262,有NG {0}
F263,计划冲突 {0}
F264,配方值 {0}
F265,上班次·{0}
F266,总数 {0}
F267,{0:F1} 件/h
F268,按小时产量（{0}）
F269,类型 {0}
F270,主要 {0}
F271,较上班次 {0} 件
F272,不良 {0:N0} 件
F273,合计（{0} 台）
F274,重复 {0} 次
F275,间隔 {0:F0} min
F276,前后产量差 {0:N0}
F277,已恢复 {0}
F278,/ 待处理 {0}
F279,最近发生：{0:HH:mm:ss}
F280,采集服务运行：{0}
F281,平均 {0:F1} ms
F282,失败轮询 {0:N0} 次
F283,每 {0} 次轮询
F284,刷新于 {0:HH:mm:ss}
F285,当前 {0}
F286,上限 {0}
F287,查看 {0} 详情
F288,删除班次 {0}
F289,状态字: {0}
F290,检测到 {0} 处跨设备地址冲突，保存时将提示定位
F291,{0} 次
F292,{0}件/h · {1:F1}s
K583,暂无数据
M049,未断线
M050,Collector 未连接
M051,进入远程采集模式
M052,无积压
M053,配置正常
M054,不可用
M055,暂无运行工单
M056,暂无产品信息
M057,暂无配方信息
M058,上一周期
M059,点击任一状态时段查看对应报警与产量
M060,当前筛选无匹配报警
M061,暂无活跃故障
M062,就绪
M063,实时数据 · 今日报警 · 近24小时产量
M064,请输入采集服务地址
M065,连接成功（采集服务可达）
M066,小时
M067,按小时产量
M069,采集设置已同步
M070,服务断开
M071,PLC断开
M072,无数据
M073,设备名
M074,有未保存修改
M075,已保存
M076,测试中...
M077,测试连接
M078,保存中...
M079,保存设置
M080,计划开始时间
M081,计划结束时间
M082,状态 + 计划时间
M083,创建时间
M084,请选择工单
M085,仅待开始工单可启动
M086,该设备已有进行中工单
M087,启动工单
M088,仅进行中工单可完成
M089,完成工单并保存产量快照
M090,已完成或已中止工单不可中止
M091,中止后不可恢复为进行中
M092,已达标完成
M093,未达标完成
M094,进度落后
M095,正常生产
M096,尚未查询
M097,查询失败
M098,未找到数据
M099,全部班次
M100,全部设备
M101,起始时间不能晚于结束时间
M102,当前范围未采集到历史数据
M103,当前范围仅有状态数据，暂无产量记录
M104,当前范围有产量记录，暂无报警记录
M105,产量、状态和报警数据均已采集
M106,当前班次
M107,上一班次
M108,今日
M109,近8小时
M110,未配置班次
M111,未匹配班次
M112,达到
M113,低于
M114,当前时间范围没有足够的产量或报警数据生成复盘结论
M115,非班次时段
M116,导出生产复盘报表
M117,导出生产复盘 PDF
M118,确认删除
M119,确认导入
M120,确认导入报警
M121,配置验证警告
M122,配置文件损坏
M123,正在加载配置
M124,正在启动数据采集
M125,运行中（远程采集）
M126,数据库已就绪
M127,正在升级历史数据库
M128,部分功能不可用
M129,运行中
M130,启动失败
M131,配置文件存在以下问题，部分功能可能不可用
M132,建议进入「设置」页修改后保存
M133,正在启动
M134,采集服务已连接
M135,已激活 · 永久授权
M136,试用期已过期
M137,试用期异常（检测到时间篡改）
M138,授权已过期
M139,授权与当前机器不匹配
M140,未激活
M141,输入新的激活码以替换当前授权。
M142,试用期已过期，请输入激活码继续使用。
M143,授权已过期，请输入新的激活码。
M144,授权与当前机器不匹配，请重新激活。
M145,请输入激活码以继续使用。
M146,班次配置变更提示
M147,班次名称不能为空
M148,最多 {0} 个班次
M149,恢复默认设置
M150,时间稼动率 = 实际运行时间 / 计划运行时间
M151,性能达标率 = 实际产量 / 理论产量
M152,良品率 = 合格品 / 总产量
M153,OEE = 时间稼动率 × 性能达标率 × 良品率
M154,加载完成
M155,刷新完成
M156,正在刷新
M157,刷新失败
M158,加载失败
M159,正在加载
M160,暂无设备
M161,未配置地址
M162,未配置
M163,本轮成功
M164,本轮失败
M165,初始/未连接
M166,地址冲突「
M167,恢复上一版本将覆盖当前未保存的设备配置，请输入密码以继续：
M168,请输入密码以生成虚拟设备：
M169,生成虚拟设备
M170,正在执行 PLC 操作...
M171,确认 OEE 清零
M172,已取消
M173,设备配置有未保存的修改，确定退出吗？\n未保存的修改将在退出后丢失。
M174,未保存的修改
M175,确认清空计数报警
M176,无洞察
M177,🔴 长报警
M178,最长报警
M179,PLC 未连接，无法写入配方
M180,未配置配方地址
M181,PLC 未连接，无法执行清零
M182,未配置 OEE 清零地址
M183,用户取消
M184,清零失败
M185,地址为空
M186,PLC 未连接，无法读取
M187,操作超时
M188,PLC 未连接，无法清空
M189,产量趋势图
M190,产量(件)
M191,OK 产量
M192,NG 产量
M193,良品率趋势图
M194,性能趋势图
M195,时间稼动率趋势图
M196,缺陷分布图
M197,班次产量对比
M198,数量
M199,报警时长排行
M200,停机分析图
M201,节拍对比图
M202,百分比
M203,时间
M204,持续时间(分钟)
M205,设备
M206,产量
M207,报警
M208,待机
M209,报警次数
M210,报警时长(分钟)
M211,停机时长(分钟)
M212,速度(件/小时)
M213,目标
M214,实际
M215,差距
M216,数量
M217,百分比(%)
M218,合格
M219,不合格
M220,小时
M221,CSV 文件 (*.csv)|*.csv|所有文件 (*.*)|*.*
M222,导出报警配置
M223,导入报警配置
M224,替换现有报警并导入
M225,JSON 文件 (*.json)|*.json|所有文件 (*.*)|*.*
M226,导出设备配置
M227,导入设备配置
M228,OK 数量地址
M229,NG 数量地址
M230,状态地址
M231,OEE 清零地址
M232,OK 数量地址
M233,NG 数量地址
M234,OEE 清零地址
M276,OEE 清零地址
M275,OEE 清零地址
M274,OEE 清零地址
M273,OEE 清零地址
M235,配方地址
M236,性能率
M237,可用率
M238,良品率
M239,生产复盘报表
M240,"指标,数值"
M241,总合格产量
M242,总不合格产量
M243,良品率
M244,运行时长
M245,待机时长
M246,报警时长
M247,报警次数
M248,设备明细
M249,"设备,合格产量,不良产量,良品率,OEE,运行时长,待机时长,报警时长,报警次数,主要报警"
M250,班次对比
M251,"班次,合格产量,不良产量,总产量,良品率,报警次数,报警密度"
M252,Top 报警
M253,"报警名称,设备,触发次数,累计时长"
M254,核心指标
M255,产量趋势
M256,OEE 损失拆解
M257,周期对比
M258,停机分析
M259,生产热力图
M260,当前变化
M261,字段
M262,缺陷 
M263,断线
M264,累计时长
M265,指标
M266,数值
M267,目标产量
M268,目标达成率
M269,缺陷帕累托
M270,缺陷
M271,累计占比
M272,暂无图表数据
M293,永久授权
M294,限期授权
M295,通用设置
M296,PLC 连接
M297,采集策略
M298,班次配置
M299,IP 地址无效
M301,前一小时
M302,前 8 小时
M303,前 7 天
M300,前 24 小时
Conn_Connected,已连接
Conn_Lost,连接断开
Conn_DisconnectedRetry,未连接 (重试间隔{0:F0}s)
Conn_Connecting,正在连接
Conn_ConnectingSuffix,... (第{0}次)
Conn_RemoteConnecting,采集服务 (第{0}次)
Web_Msg_NoDeviceData,暂无设备数据
Web_Msg_WaitingConn,等待连接采集服务…
Web_Msg_EmptyHint,确认 PlcSimulator 与 Kanban.Collector 已启动，且 CollectorHubUrl 端口一致
Web_Msg_NoDevSelected,未选择设备
Web_Msg_SelectHint,从右上角选择要查看的设备
Web_Card_DevStatus,设备状态
Web_Card_ProdStatus,当前生产状态
Web_Card_Alarms,实时故障
Web_Card_Oee,OEE 概览
Web_Card_Output,产量明细
Web_Card_WorkOrder,当前工单
Web_Card_Trend,速度趋势
Web_Card_Shift,班次进度
Web_Card_Source,数据源
Web_Lbl_RealTimeSpeed,实时速度（件/小时）
Web_Lbl_TargetCycle,目标节拍
Web_Lbl_ActualCycle,实际节拍
Web_Lbl_TotalOutput,总产量
Web_Lbl_NgRate,不良率
Web_Lbl_Achievement,达成率
Web_Lbl_Availability,可用率
Web_Lbl_Performance,性能率
Web_Lbl_Quality,合格率
Web_Lbl_Ok,OK 良品
Web_Lbl_Ng,NG 不良
Web_Lbl_Planned,计划
Web_Lbl_Elapsed,已运行
Web_Lbl_Remaining,剩余
Web_Lbl_ConnStatus,连接状态
Web_Lbl_DevTotal,设备总数
Web_Lbl_DataFresh,数据更新
Web_Lbl_SnapSeq,快照序号
Web_Lbl_SvcAddr,服务地址
Web_Lbl_SvcVersion,服务版本
Web_Val_NoAlarms,当前无激活报警
Web_Val_NoWorkOrder,暂无工单
Web_Val_WaitData,等待数据积累…
Web_Val_DynAddr,动态派生 · :5129
Web_Wo_Running,生产中
Web_Wo_Completed,已完成
Web_Wo_Aborted,已终止
Web_Wo_Pending,待开始
Web_Meta_StatusWord,状态字 0x{0} · 目标 {1} 件/h
Web_Meta_QualityRate,合格率 {0} · 不良率 {1}
Web_Meta_PlanWo,计划 {0} 件
Web_Meta_TrendCurrent,当前 {0} 件/h · 采样 0.5s
Web_Meta_ShiftAuto,按班次配置自动计算
Web_Badge_Recent1Min,近 1 分钟
Web_Wo_Progress,{0} / {1} 件
Web_Wo_ProgressPending,-- / {0} 件
Web_Fresh_None,未收到
Web_Fresh_Live,实时
Web_Fresh_Secs,{0} 秒前
Web_Fresh_Mins,{0} 分钟前
License_ActivePermanent,已激活 · 永久授权
License_TrialExpired,试用期已过期
License_TrialManipulated,试用期异常（检测到时间篡改）
License_Expired,授权已过期
License_MachineMismatch,授权与当前机器不匹配
License_Inactive,未激活
M304,检测到系统时间异常，试用期已失效，请输入激活码继续使用。
M305,授权已过期，请输入新的激活码。
M306,授权与当前机器不匹配，请重新激活。
M307,请输入激活码以继续使用。
M308,· 永久授权
M309,程序已在运行，不能重复启动。
K584,表格视图
K585,卡片视图
K587,OEE
K588,OK
K589,NG
K590,总产量
K591,合格率
K592,节拍
K593,运行
K594,详情
K595,暂无
K596,机架
K597,槽位
K598,Modbus 单元 ID
K599,请输入工单号
K600,请输入产品编码
K601,请输入产品名称
K602,请选择绑定设备
K603,计划产量必须为大于 0 的整数
K604,计划结束时间必须晚于开始时间
